last_name, first_name,player_id,team_id,team,position,age,competitive_runs,hp_to_1b,sprint_speed
Alvarez, Yordan,670541,117,HOU,DH,24,85,4.52,26.5
Alonso, Pete,624413,121,NYM,1B,27,66,4.52,26.5
García, Luis,671277,120,WSH,2B,21,12,,26.5
Sanó, Miguel,593934,142,MIN,1B,28,36,4.77,26.5
Mercer, Jordy,474568,120,WSH,2B,35,24,4.53,26.5
Odor, Rougned,596059,147,NYY,2B,27,42,4.49,26.4
Long Jr., Shed,643418,136,SEA,LF,26,21,,26.4
Andrus, Elvis,462101,133,OAK,SS,33,105,4.54,26.4
Arraez, Luis,650333,142,MIN,2B,24,70,4.43,26.4
Hoskins, Rhys,656555,143,PHI,1B,28,76,4.64,26.4
Mercedes, Yermín,606213,145,CWS,DH,28,85,4.60,26.4
Rogers, Jake,668670,116,DET,C,26,13,,26.4
McGuire, Reese,624512,141,TOR,C,26,27,4.50,26.4
Torrens, Luis,620443,136,SEA,C,25,48,4.65,26.4
Seager, Corey,608369,119,LAD,SS,27,62,4.59,26.4
Jones, Taylor,622100,117,HOU,DH,28,17,,26.4
Mendick, Danny,664901,145,CWS,2B,28,22,,26.4
Panik, Joe,605412,141,TOR,3B,31,51,4.51,26.4
Gurriel Jr., Lourdes,666971,141,TOR,LF,28,91,4.56,26.3
Dickerson, Alex,543105,137,SF,LF,31,40,4.54,26.3
Castro, Jason,488771,117,HOU,C,34,20,,26.3
Ríos, Edwin,621458,119,LAD,3B,27,16,4.50,26.3
LeMahieu, DJ,518934,147,NYY,2B,33,124,4.65,26.3
Vogt, Stephen,519390,109,ARI,C,37,27,4.46,26.3
Severino, Pedro,600474,110,BAL,C,28,61,4.52,26.3
Zimmerman, Ryan,475582,120,WSH,1B,37,52,4.59,26.3
Abreu, José,547989,145,CWS,1B,34,91,4.64,26.3
Mazara, Nomar,608577,116,DET,RF,26,54,4.54,26.3
Reddick, Josh,502210,109,ARI,RF,34,39,4.56,26.3
Núñez, Renato,600524,116,DET,DH,27,12,,26.3
Profar, Jurickson,595777,135,SD,LF,28,80,4.54,26.3
Calhoun, Willie,641432,140,TEX,LF,27,61,4.61,26.3
Joyce, Matt,459964,143,PHI,,37,17,,26.3
Simmons, Andrelton,592743,142,MIN,SS,32,95,4.66,26.2
Soler, Jorge,624585,118,KC,DH,29,65,4.83,26.2
McMahon, Ryan,641857,115,COL,2B,27,75,4.58,26.2
Cooper, Garrett,643265,146,MIA,RF,31,61,4.64,26.2
Naylor, Josh,647304,114,CLE,RF,24,102,4.60,26.2
Longoria, Evan,446334,137,SF,3B,36,46,4.69,26.2
Bregman, Alex,608324,117,HOU,3B,27,87,4.61,26.2
Ruf, Darin,573131,137,SF,1B,35,31,,26.2
Guillorme, Luis,641645,121,NYM,3B,27,25,,26.2
Reyes, Franmil,614177,114,CLE,DH,26,53,4.74,26.1
Heim, Jonah,641680,140,TEX,C,26,37,4.73,26.2
Tsutsugo, Yoshi,660294,119,LAD,1B,30,30,4.46,26.2
Rivera, René,425784,114,CLE,C,38,13,,26.1
Mondesi, Adalberto,609275,118,KC,SS,26,11,,26.1
Stassi, Max,545358,108,LAA,C,30,29,4.76,26.1
Kelenic, Jarred,672284,136,SEA,LF,22,25,4.54,26.1
Díaz, Yandy,650490,139,TB,1B,30,117,4.63,26.1
Larnach, Trevor,663616,142,MIN,LF,24,40,4.65,26.1
Zunino, Mike,572287,139,TB,C,30,27,4.72,26.1
Martinez, J.D.,502110,111,BOS,DH,34,89,4.71,26.1
Galvis, Freddy,520471,110,BAL,SS,32,83,4.52,26.1
Cruz, Nelson,443558,142,MIN,DH,41,78,4.66,26.0
Murphy, Sean,669221,133,OAK,C,27,75,4.68,26.1
Castro, Starlin,516770,120,WSH,3B,31,103,4.61,26.0
d'Arnaud, Travis,518595,144,ATL,C,32,25,4.76,26.0
Santander, Anthony,623993,110,BAL,RF,27,57,,26.0
Perez, Salvador,521692,118,KC,C,31,74,4.76,26.0
Bell, Josh,605137,120,WSH,1B,29,79,4.59,26.0
Holt, Brock,571788,140,TEX,3B,33,41,4.47,26.0
Craig, Will,643269,134,PIT,1B,27,22,4.75,26.0
Solano, Donovan,456781,137,SF,2B,34,64,4.59,26.0
Lamb, Jake,571875,145,CWS,LF,31,25,4.68,26.0
Drury, Brandon,592273,121,NYM,3B,29,16,4.71,25.9
Olson, Matt,621566,133,OAK,1B,27,89,4.66,25.9
Campusano, Luis,669134,135,SD,C,23,10,,25.8
Schrock, Max,621011,113,CIN,2B,27,13,,25.8
Nola, Austin,543592,135,SD,C,32,23,,25.8
Winker, Jesse,608385,113,CIN,LF,28,99,4.71,25.8
Cron, C.J.,543068,115,COL,1B,31,57,4.73,25.8
Smith, Dominic,642086,121,NYM,LF,26,70,4.48,25.8
Piscotty, Stephen,572039,133,OAK,RF,30,41,4.72,25.8
Knizner, Andrew,668800,138,STL,C,26,30,4.72,25.8
Carpenter, Matt,572761,138,STL,2B,36,27,,25.8
Machado, Manny,592518,135,SD,3B,29,90,4.55,25.8
Sánchez, Gary,596142,147,NYY,C,29,49,4.70,25.8
Díaz, Elias,553869,115,COL,C,31,44,4.76,25.7
Davis, Khris,501981,140,TEX,DH,34,16,4.94,25.7
Seager, Kyle,572122,136,SEA,3B,34,64,4.60,25.7
Brantley, Michael,488726,117,HOU,LF,34,101,4.65,25.7
Castro, Harold,605612,116,DET,SS,28,39,4.61,25.7
Plawecki, Kevin,608700,111,BOS,C,30,23,4.72,25.7
Sogard, Eric,519299,112,CHC,2B,35,54,4.47,25.7
Godoy, José,608422,136,SEA,C,27,12,,25.7
Garcia, Aramis,605244,133,OAK,C,28,27,4.80,25.7
VanMeter, Josh,642165,109,ARI,2B,26,23,,25.6
Wade Jr, LaMonte,664774,137,SF,1B,27,25,4.73,25.6
Urshela, Gio,570482,147,NYY,3B,30,98,4.56,25.6
Moustakas, Mike,519058,113,CIN,3B,33,34,,25.6
Calhoun, Kole,594777,109,ARI,RF,34,16,,25.6
Higashioka, Kyle,543309,147,NYY,C,31,26,4.66,25.6
Lowrie, Jed,476704,133,OAK,2B,37,73,4.66,25.5
Garver, Mitch,641598,142,MIN,C,30,29,4.67,25.5
Nido, Tomás,621512,121,NYM,C,27,25,4.78,25.5
Díaz, Isan,656371,146,MIA,2B,25,32,4.77,25.5
Belt, Brandon,474832,137,SF,1B,33,38,,25.5
Hosmer, Eric,543333,135,SD,1B,32,95,4.58,25.5
Adams, Matt,571431,115,COL,1B,33,12,,25.4
La Stella, Tommy,600303,137,SF,2B,32,24,4.58,25.4
Arenado, Nolan,571448,138,STL,3B,30,92,4.77,25.4
Choi, Ji-Man,596847,139,TB,1B,30,19,,25.4
Maile, Luke,571912,158,MIL,C,30,10,,25.3
Nuñez, Dom,624513,115,COL,C,26,34,4.70,25.3
Tellez, Rowdy,642133,141,TOR,DH,26,39,4.77,25.3
Franco, Maikel,596748,110,BAL,3B,29,123,4.81,25.3
Hernandez, Yadiel,628450,120,WSH,RF,34,25,4.60,25.3
Marmolejos, José,592530,136,SEA,1B,28,17,,25.2
Jeffers, Ryan,680777,142,MIN,C,24,28,4.85,25.2
Ruiz, Rio,547004,110,BAL,2B,27,30,4.86,25.2
Rendon, Anthony,543685,108,LAA,3B,31,51,4.83,25.2
Wynns, Austin,642851,110,BAL,C,31,14,4.90,25.2
Vázquez, Christian,543877,111,BOS,C,31,83,4.67,25.2
Turner, Justin,457759,119,LAD,3B,37,66,4.84,25.2
Rizzo, Anthony,519203,112,CHC,1B,32,78,4.64,25.1
France, Ty,664034,136,SEA,1B,27,97,4.81,25.1
Crawford, Brandon,543063,137,SF,SS,34,66,4.63,25.1
Gallagher, Cam,595956,118,KC,C,29,14,,25.1
Caratini, Victor,605170,135,SD,C,28,54,4.68,25.1
Rivas, Webster,593590,135,SD,C,31,10,,25.1
Shaw, Travis,543768,158,MIL,3B,31,47,4.74,25.1
